Requirement,Applicable,State,Justification,Control,Test,Evidence,Owner
v5.0.0-V16.2.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.2.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.2.3,Sim,Fail,"Sem inventário, não é possível provar que todos os destinos de log são autorizados.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.2.4,Sim,Fail,Não existe processador central de logs nem evidência de correlação de todos os formatos.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.2.5,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.3,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.4,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.4.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.4.2,Sim,Fail,Logs não possuem armazenamento protegido contra alteração/acesso não autorizado demonstrado.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.4.3,Sim,Fail,Logs não são enviados com segurança para sistema logicamente separado.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.5.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.5.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.5.3,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V17.1.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.2,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.3,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.4,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.3.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.3.2,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
